player_id,player_name,birth_date,position,is_active,weight,height,draft_year
201959,Taj Gibson,1985-06-24T00:00:00,Forward,1,232,6-9,2009
1630581,Josh Giddey,2002-10-10T00:00:00,Guard,1,216,6-8,2021
1628983,Shai Gilgeous-Alexander,1998-07-12T00:00:00,Guard,1,195,6-6,2018
1630264,Anthony Gill,1992-10-17T00:00:00,Forward,1,230,6-8,Undrafted
1631221,Collin Gillespie,1999-06-25T00:00:00,Guard,1,195,6-1,Undrafted
203497,Rudy Gobert,1992-06-26T00:00:00,Center,1,258,7-1,2013
1630692,Jordan Goodwin,1998-10-23T00:00:00,Guard,1,215,6-5,Undrafted
203932,Aaron Gordon,1995-09-16T00:00:00,Forward,1,235,6-8,2014
201569,Eric Gordon,1988-12-25T00:00:00,Guard,1,215,6-3,2008
1641789,Jazian Gortman,2003-03-14T00:00:00,Guard,0,184,6-2,Undrafted
203924,Jerami Grant,1994-03-12T00:00:00,Forward,1,210,6-7,2014
1631260,AJ Green,1999-09-27T00:00:00,Guard,1,190,6-4,Undrafted
203110,Draymond Green,1990-03-04T00:00:00,Forward,1,230,6-6,2012
1630224,Jalen Green,2002-02-09T00:00:00,Guard,1,186,6-4,2021
1629750,Javonte Green,1993-07-23T00:00:00,Guard,1,205,6-5,Undrafted
201145,Jeff Green,1986-08-28T00:00:00,Forward,1,235,6-8,2007
1630182,Josh Green,2000-11-16T00:00:00,Guard,1,200,6-5,2020
1629656,Quentin Grimes,2000-05-08T00:00:00,Guard,1,210,6-4,2021
1631243,Mouhamed Gueye,2002-11-09T00:00:00,Forward,1,210,6-10,2023
1629060,Rui Hachimura,1998-02-08T00:00:00,Forward,1,230,6-8,2019
1630169,Tyrese Haliburton,2000-02-29T00:00:00,Guard,1,185,6-5,2020
1641790,PJ Hall,2002-02-21T00:00:00,Center,1,245,6-10,Undrafted
203501,Tim Hardaway Jr.,1992-03-16T00:00:00,Guard-Forward,1,205,6-5,2013
201935,James Harden,1989-08-26T00:00:00,Guard,1,220,6-5,2009
1630702,Jaden Hardy,2002-07-05T00:00:00,Guard,1,198,6-3,2022
1641989,Elijah Harkless,2000-02-03T00:00:00,Guard,1,195,6-3,Undrafted
1631199,Ron Harper Jr.,2000-04-12T00:00:00,Guard-Forward,1,233,6-4,Undrafted
203914,Gary Harris,1994-09-14T00:00:00,Guard,1,210,6-4,2014
202699,Tobias Harris,1992-07-15T00:00:00,Forward,1,226,6-8,2011
1628404,Josh Hart,1995-03-06T00:00:00,Guard,1,215,6-4,2017
1628392,Isaiah Hartenstein,1998-05-05T00:00:00,Center-Forward,1,250,7-0,2017
1630573,Sam Hauser,1997-12-08T00:00:00,Forward,1,217,6-7,Undrafted
1641722,Jordan Hawkins,2002-04-29T00:00:00,Guard,1,190,6-5,2023
1629637,Jaxson Hayes,2000-05-23T00:00:00,Center-Forward,1,220,7-0,2019
1630165,Killian Hayes,2001-07-27T00:00:00,Guard,0,195,6-5,2020
1630703,Scoot Henderson,2004-02-03T00:00:00,Guard,1,206,6-3,2023
1641707,Taylor Hendricks,2003-11-22T00:00:00,Forward,1,215,6-9,2023
1629639,Tyler Herro,2000-01-20T00:00:00,Guard,1,195,6-5,2019
1627741,Buddy Hield,1992-12-17T00:00:00,Guard,1,220,6-4,2016
1629312,Haywood Highsmith,1996-12-09T00:00:00,Forward,1,220,6-5,2018
1628988,Aaron Holiday,1996-09-30T00:00:00,Guard,1,185,6-0,2018
201950,Jrue Holiday,1990-06-12T00:00:00,Guard,1,205,6-4,2009
1641842,Ronald Holland II,2005-07-07T00:00:00,Forward,1,206,6-8,2024
1626158,Richaun Holmes,1993-10-15T00:00:00,Forward,1,235,6-9,2015
1631096,Chet Holmgren,2002-05-01T00:00:00,Center-Forward,1,208,7-1,2022
1641720,Jalen Hood-Schifino,2003-06-19T00:00:00,Guard,1,210,6-5,2023
201143,Al Horford,1986-06-03T00:00:00,Center-Forward,1,240,6-9,2007
1629659,Talen Horton-Tucker,2000-11-25T00:00:00,Guard,1,234,6-4,2019
1631216,Caleb Houstan,2003-01-09T00:00:00,Guard,1,205,6-8,2022
1641724,Jett Howard,2003-09-14T00:00:00,Guard,1,215,6-6,2023
1628989,Kevin Huerter,1998-08-27T00:00:00,Guard-Forward,1,198,6-7,2018
1630643,Jay Huff,1997-08-25T00:00:00,Center,1,240,7-1,Undrafted
